League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2009 playoffs	2009-05-04	20090504ORLBOS	http://www.nba.com/games/20090504/ORLBOS/boxscore.html	http://www.nba.com/games/20090504/ORLBOS/playbyplay.html	Boston Celtics	BOS	Orlando Magic	ORL	NULL	2009-05-05 00:04:03	2009-05-27 23:36:02
NBA	2009 playoffs	2009-05-05	20090505ATLCLE	http://www.nba.com/games/20090505/ATLCLE/boxscore.html	http://www.nba.com/games/20090505/ATLCLE/playbyplay.html	Cleveland Cavaliers	CLE	Atlanta Hawks	ATL	NULL	2009-05-05 22:43:10	2009-05-27 23:36:06
NBA	2009 playoffs	2009-05-05	20090505DALDEN	http://www.nba.com/games/20090505/DALDEN/boxscore.html	http://www.nba.com/games/20090505/DALDEN/playbyplay.html	Denver Nuggets	DEN	Dallas Maverics	DAL	NULL	2009-05-06 08:01:48	2009-05-27 23:36:09
NBA	2009 playoffs	2009-05-06	20090506HOULAL	http://www.nba.com/games/20090506/HOULAL/boxscore.html	http://www.nba.com/games/20090506/HOULAL/playbyplay.html	Los Angeles Lakers	LAL	Houston Rockets	HOU	NULL	2009-05-07 07:44:19	2009-05-27 23:36:13
NBA	2009 playoffs	2009-05-06	20090506ORLBOS	http://www.nba.com/games/20090506/ORLBOS/boxscore.html	http://www.nba.com/games/20090506/ORLBOS/playbyplay.html	Boston Celtics	BOS	Orlando Magic	ORL	NULL	2009-05-06 23:39:24	2009-05-27 23:36:15
NBA	2009 playoffs	2009-05-07	20090507ATLCLE	http://www.nba.com/games/20090507/ATLCLE/boxscore.html	http://www.nba.com/games/20090507/ATLCLE/playbyplay.html	Cleveland Cavaliers	CLE	Atlanta Hawks	ATL	NULL	2009-05-07 23:01:08	2009-05-27 23:36:19
NBA	2009 playoffs	2009-05-08	20090508BOSORL	http://www.nba.com/games/20090508/BOSORL/boxscore.html	http://www.nba.com/games/20090508/BOSORL/playbyplay.html	Orlando Magic	ORL	Boston Celtics	BOS	NULL	2009-05-08 22:24:08	2009-05-27 23:36:22
NBA	2009 playoffs	2009-05-08	20090508LALHOU	http://www.nba.com/games/20090508/LALHOU/boxscore.html	http://www.nba.com/games/20090508/LALHOU/playbyplay.html	Houston Rockets	HOU	Los Angeles Lakers	LAL	NULL	2009-05-09 13:24:16	2009-05-27 23:36:25
NBA	2009 playoffs	2009-05-09	20090509CLEATL	http://www.nba.com/games/20090509/CLEATL/boxscore.html	http://www.nba.com/games/20090509/CLEATL/playbyplay.html	Atlanta Hawks	ATL	Cleveland Cavaliers	CLE	NULL	2009-05-10 00:17:41	2009-05-27 23:36:28
NBA	2009 playoffs	2009-05-09	20090509DENDAL	http://www.nba.com/games/20090509/DENDAL/boxscore.html	http://www.nba.com/games/20090509/DENDAL/playbyplay.html	Dallas Maverics	DAL	Denver Nuggets	DEN	NULL	2009-05-10 00:17:51	2009-05-27 23:36:31
NBA	2009 playoffs	2009-05-10	20090510BOSORL	http://www.nba.com/games/20090510/BOSORL/boxscore.html	http://www.nba.com/games/20090510/BOSORL/playbyplay.html	Orlando Magic	ORL	Boston Celtics	BOS	NULL	2009-05-10 23:48:03	2009-05-27 23:36:35
NBA	2009 playoffs	2009-05-10	20090510LALHOU	http://www.nba.com/games/20090510/LALHOU/boxscore.html	http://www.nba.com/games/20090510/LALHOU/playbyplay.html	Houston Rockets	HOU	Los Angeles Lakers	LAL	NULL	2009-05-10 23:48:12	2009-05-27 23:36:37
NBA	2009 playoffs	2009-05-11	20090511CLEATL	http://www.nba.com/games/20090511/CLEATL/boxscore.html	http://www.nba.com/games/20090511/CLEATL/playbyplay.html	Atlanta Hawks	ATL	Cleveland Cavaliers	CLE	NULL	2009-05-11 22:47:47	2009-05-27 23:36:41
NBA	2009 playoffs	2009-05-11	20090511DENDAL	http://www.nba.com/games/20090511/DENDAL/boxscore.html	http://www.nba.com/games/20090511/DENDAL/playbyplay.html	Dallas Maverics	DAL	Denver Nuggets	DEN	NULL	2009-05-12 06:30:07	2009-05-27 23:36:44
