PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
724	Williams, MarcusE	SAS	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	240.0000	433	432	452	482	104.388	111.574	-7.18608	63	59	153	169	0.271552	0.721698	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
734	Fernandez, Rudy	POR	162.1000	296	300	296	318	100	106	-6	36	45	107	117	0.235294	0.703947	125.9000	207	205	227	237	109.662	115.61	-5.9479	31	33	70	79	0.2818	0.6796	-6	0.235294	0.703947	-0.0521	-0.0465	0.0243	4.46511	3.12222
735	Bayless, Jerryd	POR	11.4167	18	17	23	20	127.778	117.647	10.1307	6	4	6	6	0.5	0.6	276.5833	485	488	500	535	103.093	109.631	-6.5384	61	74	171	190	0.243	0.698	10.1307	0.5	0.6	16.6691	0.257	-0.098	-12.5933	4.64125
736	Batum, Nicolas	POR	63.0667	106	107	112	137	105.66	128.037	-22.377	14	19	34	43	0.245614	0.641509	224.9333	397	398	411	418	103.526	105.025	-1.4987	53	59	143	153	0.2573	0.7079	-22.377	0.245614	0.641509	-20.8783	-0.0117	-0.0664	0.820916	3.72869
747	Hunter, Othello	ATL	13.7667	28	28	35	24	125	85.7143	39.2857	6	4	10	12	0.333333	0.714286	514.2333	890	886	889	978	99.8876	110.384	-10.4961	164	170	286	351	0.3184	0.6272	39.2857	0.333333	0.714286	49.7818	0.0149	0.0871	NULL	NULL
748	Koufos, Kosta	UTA	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	240.0000	471	471	487	533	103.397	113.163	-9.76645	93	71	157	168	0.356322	0.688596	NULL	NULL	NULL	NULL	NULL	NULL	-3.62901	4.76882
751	Giddens, J.R.	BOS	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	707.0000	1345	1345	1430	1430	106.32	106.32	0	221	216	489	489	0.311268	0.693617	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
752	Walker, Bill	BOS	10.3000	21	20	18	23	85.7143	115	-29.2857	2	6	4	7	0.222222	0.4	696.7000	1324	1325	1412	1407	106.646	106.189	0.4578	219	210	485	482	0.3124	0.6978	-29.2857	0.222222	0.4	-29.7435	-0.0902	-0.2978	NULL	NULL
755	Rose, Derrick	CHI	314.1333	606	607	641	674	105.776	111.038	-5.26231	97	107	224	211	0.314935	0.676737	56.8667	109	107	117	114	107.339	106.542	0.7974	21	17	40	38	0.3559	0.7018	-5.26231	0.314935	0.676737	-6.0597	-0.041	-0.0251	-0.416751	2.81402
756	Hickson, J.J.	CLE	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	677.0000	1204	1207	1366	1247	113.455	103.314	10.1411	240	196	463	410	0.369231	0.70258	NULL	NULL	NULL	NULL	NULL	NULL	-16.3757	4.35066
757	Jackson, Darnell	CLE	25.0333	47	47	43	58	91.4894	123.404	-31.9149	6	14	19	13	0.315789	0.575758	651.9667	1157	1160	1323	1189	114.348	102.5	11.8475	234	182	444	397	0.3708	0.7093	-31.9149	0.315789	0.575758	-43.7624	-0.055	-0.1335	NULL	NULL
758	Williams, Jawad	CLE	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	677.0000	1204	1207	1366	1247	113.455	103.314	10.1411	240	196	463	410	0.369231	0.70258	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
759	Weems, Sonny	DEN	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	720.0000	1390	1387	1633	1486	117.482	107.138	10.3443	231	226	485	477	0.326271	0.682138	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
760	Sharpe, Walter	DET	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	192.0000	330	326	312	374	94.5455	114.724	-20.1785	52	56	112	132	0.282609	0.666667	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
761	Dorsey, Joey	HOU	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	624.0000	1143	1140	1189	1208	104.024	105.965	-1.94042	184	191	429	412	0.308725	0.691935	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
767	Yue, Sun	LAL	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	1066.0000	2032	2032	2252	2095	110.827	103.1	7.72638	364	373	736	718	0.336414	0.663661	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
772	Beasley, Michael	MIA	178.3667	316	314	315	331	99.6835	105.414	-5.73047	52	61	119	117	0.307692	0.661111	157.6333	268	272	302	280	112.687	102.941	9.7454	35	49	104	85	0.2917	0.6797	-5.73047	0.307692	0.661111	-15.4759	0.016	-0.0186	-7.89951	2.95146
773	Chalmers, Mario	MIA	230.8167	394	396	424	423	107.614	106.818	0.796031	58	64	148	133	0.303665	0.698113	105.1833	190	190	193	188	101.579	98.9474	2.6316	29	46	75	69	0.2959	0.6198	0.796031	0.303665	0.698113	-1.8356	0.0078	0.0783	-3.15887	3.37516
788	Lee, Courtney	ORL	549.5500	1021	1033	1114	1090	109.109	105.518	3.59081	161	178	365	369	0.303774	0.672192	617.4500	1141	1135	1213	1193	106.31	105.11	1.2001	190	175	424	418	0.3125	0.7078	3.59081	0.303774	0.672192	2.3907	-0.0087	-0.0356	-0.905427	2.74962
789	Speights, Marreese	PHI	29.1167	54	55	50	71	92.5926	129.091	-36.4983	10	12	13	21	0.322581	0.52	258.8833	478	476	481	506	100.628	106.302	-5.6749	64	74	176	174	0.2689	0.704	-36.4983	0.322581	0.52	-30.8234	0.0537	-0.184	-7.21198	3.68944
793	Hill, George	SAS	76.1833	130	132	133	135	102.308	102.273	0.0349651	19	26	50	53	0.263889	0.657895	163.8167	303	300	319	347	105.281	115.667	-10.3861	44	33	103	116	0.275	0.7574	0.0349651	0.263889	0.657895	10.4211	-0.0111	-0.0995	-2.23178	3.51145
