PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
117	Okafor	Okafor, Emeka	NBA	NOH	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
118	Chandler	Chandler, Tyson	NBA	CHA	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
119	Gordon	Gordon, Ben	NBA	DET	2009-2010	1.8	SeasonStart	2009-10-26	2010-07-01
121	Songaila	Songaila, Darius	NBA	NOH	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
122	Deng	Deng, Luol	NBA	CHI	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
125	Thomas	Thomas, Tim	NBA	DAL	2009-2010	3.6	SeasonStart	2009-10-26	2010-07-01
126	Felton	Felton, Raymond	NBA	CHA	2009-2010	1.4	SeasonStart	2009-10-26	2010-07-01
127	May	May, Sean	NBA	SAC	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
128	Carroll	Carroll, Matt	NBA	DAL	2009-2010	2.2	SeasonStart	2009-10-26	2010-07-01
130	Allen	Allen, Malik	NBA	DEN	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
132	Okur	Okur, Mehmet	NBA	UTA	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
136	Kirilenko	Kirilenko, Andrei	NBA	UTA	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
137	Collins	Collins, Jarron	NBA	PHX	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
138	Harpring	Harpring, Matt	NBA	UTA	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
139	Williams	Williams, Deron	NBA	UTA	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
140	Brown	Brown, Devin	NBA	CHI	2009-2010	1.8	20100202LACCHI	2010-01-25	2010-07-01
140	D. Brown	Brown, Devin	NBA	NOH	2009-2010	1.8	SeasonStart	2009-10-26	2010-01-25
141	Humphries	Humphries, Kris	NBA	NJN	2009-2010	4	20100113BOSNJN	2010-01-11	2010-07-01
141	Humphries	Humphries, Kris	NBA	DAL	2009-2010	4	SeasonStart	2009-10-26	2010-01-11
143	O'Neal	O'Neal, Jermaine	NBA	MIA	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
144	Battie	Battie, Tony	NBA	NJN	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
145	Artest	Artest, Ron	NBA	LAL	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
147	Jackson	Jackson, Stephen	NBA	CHA	2009-2010	3.8	20091116CHAORL	2009-11-16	2010-07-01
147	Jackson	Jackson, Stephen	NBA	GSW	2009-2010	3.8	SeasonStart	2009-10-26	2009-11-15
148	Stevenson	Stevenson, DeShawn	NBA	WAS	2009-2010	2	SeasonStart	2009-10-26	2010-02-13
148	Stevenson	Stevenson, DeShawn	NBA	DAL	2009-2010	2	20100216DALOKC	2010-02-13	2010-07-01
149	Howard	Howard, Dwight	NBA	ORL	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
151	Turkoglu	Turkoglu, Hedo	NBA	TOR	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
152	Tinsley	Tinsley, Jamaal	NBA	MEM	2009-2010	1	20091118LACMEM	2009-11-18	2010-07-01
